ElapsedTime,Class1,Class2,Class3,BestClass
0.02,0,0,0,0
0.04,0,0,0,0
0.14,0,0,0,0
0.1711219,0,0,0,0
0.1894261,0,0,0,0
0.2060015,0,0,0,0
0.2228134,0,0,0,0
0.2398031,0,0,0,0
0.2557992,0,0,0,0
0.2728254,0,0,0,0
0.2898319,0,0,0,0
0.3053949,0,0,0,0
0.3219621,0,0,0,0
0.3385285,0,0,0,0
0.3550953,0,0,0,0
0.3717803,0,0,0,0
0.3887437,0,0,0,0
0.4047961,0,0,0,0
0.4217176,0,0,0,0
0.4387299,0,0,0,0
0.4544957,0,0,0,0
0.4710616,0,0,0,0
0.4877003,0,0,0,0
0.5091431,0,0,0,0
0.520762,0,0,0,0
0.537718,0,0,0,0
0.5538956,0,0,0,0
0.5706775,0,0,0,0
0.5870304,0,0,0,0
0.6036888,0,0,0,0
0.6206538,0,0,0,0
0.6367292,0,0,0,0
0.6536294,0,0,0,0
0.669862,0,0,0,0
0.6866344,0,0,0,0
0.7029955,0,0,0,0
0.7196305,0,0,0,0
0.7361287,0,0,0,0
0.7527012,Infinity,Infinity,Infinity,-1
0.7692618,Infinity,Infinity,Infinity,-1
0.7858409,Infinity,Infinity,Infinity,-1
0.8023946,Infinity,Infinity,Infinity,-1
0.8189622,Infinity,Infinity,Infinity,-1
0.8359432,Infinity,Infinity,Infinity,-1
0.8520954,Infinity,Infinity,Infinity,-1
0.8690567,Infinity,Infinity,Infinity,-1
0.8852286,Infinity,Infinity,Infinity,-1
0.9020191,Infinity,Infinity,Infinity,-1
0.9183622,Infinity,Infinity,Infinity,-1
0.9349569,Infinity,Infinity,Infinity,-1
0.9514946,Infinity,Infinity,Infinity,-1
0.9680995,Infinity,Infinity,Infinity,-1
0.9846281,Infinity,Infinity,Infinity,-1
1.001196,Infinity,Infinity,Infinity,-1
1.017763,Infinity,Infinity,Infinity,-1
1.03513,Infinity,Infinity,Infinity,-1
1.051123,Infinity,Infinity,Infinity,-1
1.067461,Infinity,Infinity,Infinity,-1
1.084103,Infinity,Infinity,Infinity,-1
1.100595,Infinity,Infinity,Infinity,-1
1.117163,Infinity,Infinity,Infinity,-1
1.134121,Infinity,Infinity,Infinity,-1
1.151157,Infinity,Infinity,Infinity,-1
1.166862,Infinity,Infinity,Infinity,-1
1.183428,Infinity,Infinity,Infinity,-1
1.200154,Infinity,Infinity,Infinity,-1
1.217108,Infinity,Infinity,Infinity,-1
1.233139,Infinity,Infinity,Infinity,-1
1.249696,Infinity,Infinity,Infinity,-1
1.266262,Infinity,Infinity,Infinity,-1
1.282828,Infinity,Infinity,Infinity,-1
1.299395,Infinity,Infinity,Infinity,-1
1.316245,Infinity,Infinity,Infinity,-1
1.332528,Infinity,Infinity,Infinity,-1
1.349287,Infinity,Infinity,Infinity,-1
1.365662,Infinity,Infinity,Infinity,-1
1.382328,Infinity,Infinity,Infinity,-1
1.399259,Infinity,Infinity,Infinity,-1
1.415362,Infinity,Infinity,Infinity,-1
1.434689,Infinity,Infinity,Infinity,-1
1.451259,Infinity,Infinity,Infinity,-1
1.467826,Infinity,Infinity,Infinity,-1
1.485196,Infinity,Infinity,Infinity,-1
1.501147,Infinity,Infinity,Infinity,-1
1.517525,Infinity,Infinity,Infinity,-1
1.534092,Infinity,Infinity,Infinity,-1
1.550659,Infinity,Infinity,Infinity,-1
1.567225,Infinity,Infinity,Infinity,-1
1.583792,Infinity,Infinity,Infinity,-1
1.600358,Infinity,Infinity,Infinity,-1
1.616925,Infinity,Infinity,Infinity,-1
1.633677,Infinity,Infinity,Infinity,-1
1.650058,Infinity,Infinity,Infinity,-1
1.666757,Infinity,Infinity,Infinity,-1
1.683793,Infinity,Infinity,Infinity,-1
1.699763,Infinity,Infinity,Infinity,-1
1.716325,Infinity,Infinity,Infinity,-1
1.732892,Infinity,Infinity,Infinity,-1
1.749459,Infinity,Infinity,Infinity,-1
1.766025,Infinity,Infinity,Infinity,-1
1.782724,Infinity,Infinity,Infinity,-1
1.799751,Infinity,Infinity,Infinity,-1
1.815749,Infinity,Infinity,Infinity,-1
1.832291,Infinity,Infinity,Infinity,-1
1.848858,Infinity,Infinity,Infinity,-1
1.865425,Infinity,Infinity,Infinity,-1
1.881992,Infinity,Infinity,Infinity,-1
1.898848,Infinity,Infinity,Infinity,-1
1.915125,Infinity,Infinity,Infinity,-1
1.931692,Infinity,Infinity,Infinity,-1
1.948259,Infinity,Infinity,Infinity,-1
1.964935,Infinity,Infinity,Infinity,-1
1.981392,Infinity,Infinity,Infinity,-1
1.99796,Infinity,Infinity,Infinity,-1
2.014525,Infinity,Infinity,Infinity,-1
2.031091,Infinity,Infinity,Infinity,-1
2.048051,Infinity,Infinity,Infinity,-1
2.064639,Infinity,Infinity,Infinity,-1
2.080792,Infinity,Infinity,Infinity,-1
2.09762,Infinity,Infinity,Infinity,-1
2.11461,Infinity,Infinity,Infinity,-1
2.130493,Infinity,Infinity,Infinity,-1
2.147059,Infinity,Infinity,Infinity,-1
2.163625,Infinity,Infinity,Infinity,-1
2.180193,Infinity,Infinity,Infinity,-1
2.19676,Infinity,Infinity,Infinity,-1
2.213326,Infinity,Infinity,Infinity,-1
2.229893,Infinity,Infinity,Infinity,-1
2.246459,Infinity,Infinity,Infinity,-1
2.263026,Infinity,Infinity,Infinity,-1
2.279697,Infinity,Infinity,Infinity,-1
2.296709,Infinity,Infinity,Infinity,-1
2.312726,Infinity,Infinity,Infinity,-1
2.329292,Infinity,Infinity,Infinity,-1
2.345859,Infinity,Infinity,Infinity,-1
2.362699,Infinity,Infinity,Infinity,-1
2.379657,Infinity,Infinity,Infinity,-1
2.395636,Infinity,Infinity,Infinity,-1
2.412573,Infinity,Infinity,Infinity,-1
2.428692,Infinity,Infinity,Infinity,-1
2.445623,Infinity,Infinity,Infinity,-1
2.461824,Infinity,Infinity,Infinity,-1
2.478593,Infinity,Infinity,Infinity,-1
2.494959,Infinity,Infinity,Infinity,-1
2.511525,Infinity,Infinity,Infinity,-1
2.528092,Infinity,Infinity,Infinity,-1
2.544658,Infinity,Infinity,Infinity,-1
2.561225,Infinity,Infinity,Infinity,-1
2.577791,Infinity,Infinity,Infinity,-1
2.594574,Infinity,Infinity,Infinity,-1
2.610925,Infinity,Infinity,Infinity,-1
2.62755,Infinity,Infinity,Infinity,-1
2.644525,Infinity,Infinity,Infinity,-1
2.660625,Infinity,Infinity,Infinity,-1
2.677507,Infinity,Infinity,Infinity,-1
2.696054,Infinity,Infinity,Infinity,-1
2.713552,Infinity,Infinity,Infinity,-1
2.729537,Infinity,Infinity,Infinity,-1
2.745756,Infinity,Infinity,Infinity,-1
2.762686,Infinity,Infinity,Infinity,-1
2.77889,Infinity,Infinity,Infinity,-1
2.795675,Infinity,Infinity,Infinity,-1
2.812617,Infinity,Infinity,Infinity,-1
2.828663,Infinity,Infinity,Infinity,-1
2.845157,Infinity,Infinity,Infinity,-1
2.861723,Infinity,Infinity,Infinity,-1
2.87829,Infinity,Infinity,Infinity,-1
2.894856,Infinity,Infinity,Infinity,-1
2.911681,Infinity,Infinity,Infinity,-1
2.928653,Infinity,Infinity,Infinity,-1
2.944646,Infinity,Infinity,Infinity,-1
2.961123,Infinity,Infinity,Infinity,-1
2.977868,Infinity,Infinity,Infinity,-1
2.994848,Infinity,Infinity,Infinity,-1
3.010851,Infinity,Infinity,Infinity,-1
3.027389,Infinity,Infinity,Infinity,-1
3.043956,Infinity,Infinity,Infinity,-1
3.060764,Infinity,Infinity,Infinity,-1
3.077759,Infinity,Infinity,Infinity,-1
3.093783,Infinity,Infinity,Infinity,-1
3.110225,Infinity,Infinity,Infinity,-1
3.126789,Infinity,Infinity,Infinity,-1
3.143356,Infinity,Infinity,Infinity,-1
3.159922,Infinity,Infinity,Infinity,-1
3.176744,Infinity,Infinity,Infinity,-1
3.193056,Infinity,Infinity,Infinity,-1
3.209623,Infinity,Infinity,Infinity,-1
3.226961,Infinity,Infinity,Infinity,-1
3.242756,Infinity,Infinity,Infinity,-1
3.259323,Infinity,Infinity,Infinity,-1
3.2762,Infinity,Infinity,Infinity,-1
3.292456,Infinity,Infinity,Infinity,-1
3.309259,Infinity,Infinity,Infinity,-1
3.325587,Infinity,Infinity,Infinity,-1
3.342246,38.81268,56.35615,34.47616,-1
3.359073,38.81268,56.35615,34.47616,-1
3.376175,38.81268,56.35615,34.47616,-1
3.392137,38.81268,56.35615,34.47616,-1
3.408423,38.81268,56.35615,34.47616,-1
3.425137,38.81268,56.35615,34.47616,-1
3.442279,38.81268,56.35615,34.47616,-1
3.458123,38.81268,56.35615,34.47616,-1
3.474689,38.81268,56.35615,34.47616,-1
3.491256,38.81268,56.35615,34.47616,-1
3.507823,38.81268,56.35615,34.47616,-1
3.524389,38.81268,56.35615,34.47616,-1
3.541121,38.81268,56.35615,34.47616,-1
3.557522,38.81268,56.35615,34.47616,-1
3.574137,38.81268,56.35615,34.47616,-1
3.591151,38.81268,56.35615,34.47616,-1
3.607224,38.81268,56.35615,34.47616,-1
3.624091,38.81268,56.35615,34.47616,-1
3.640357,38.81268,56.35615,34.47616,-1
3.657277,38.81268,56.35615,34.47616,-1
3.674266,38.81268,56.35615,34.47616,-1
3.690057,38.81268,56.35615,34.47616,-1
3.706623,38.81268,56.35615,34.47616,-1
3.723252,38.81268,56.35615,34.47616,-1
3.740294,38.81268,56.35615,34.47616,-1
3.756323,38.81268,56.35615,34.47616,-1
3.77289,38.81268,56.35615,34.47616,-1
3.789456,38.81268,56.35615,34.47616,-1
3.806334,38.81268,56.35615,34.47616,-1
3.822589,38.81268,56.35615,34.47616,-1
3.839318,38.81268,56.35615,34.47616,-1
3.855723,38.81268,56.35615,34.47616,-1
3.872376,38.81268,56.35615,34.47616,-1
3.889325,38.81268,56.35615,34.47616,-1
3.905422,38.81268,56.35615,34.47616,-1
3.921989,38.81268,56.35615,34.47616,-1
3.938559,38.81268,56.35615,34.47616,-1
3.955615,38.81268,56.35615,34.47616,-1
3.97169,38.81268,56.35615,34.47616,-1
