ElapsedTime,GravityX,GravityY,GravityZ,LinearX,LinearY,LinearZ
0.02,0,0,0,0,0,0
0.04,0,0,0,0,0,0
0.14,0,0,0,0,0,0
0.1909998,1.066864,9.264427,3.033575,-1.135819,-0.1375475,-0.4531472
0.2079636,1.066864,9.264427,3.033575,-1.135819,-0.1375475,-0.4531472
0.2254299,1.066864,9.264427,3.033575,-1.135819,-0.1375475,-0.4531472
0.2416637,1.066864,9.264427,3.033575,-1.135819,-0.1375475,-0.4531472
0.2585134,1.066864,9.264427,3.033575,-1.135819,-0.1375475,-0.4531472
0.2754016,1.066864,9.264427,3.033575,-1.135819,-0.1375475,-0.4531472
0.2922115,1.066864,9.264427,3.033575,-1.135819,-0.1375475,-0.4531472
0.3094228,1.066864,9.264427,3.033575,-1.135819,-0.1375475,-0.4531472
0.3259096,1.066864,9.264427,3.033575,-1.135819,-0.1375475,-0.4531472
0.3434095,1.066864,9.264427,3.033575,-1.135819,-0.1375475,-0.4531472
0.3596076,1.066864,9.264427,3.033575,-1.135819,-0.1375475,-0.4531472
0.3764618,1.066864,9.264427,3.033575,-1.135819,-0.1375475,-0.4531472
0.3934913,1.066864,9.264427,3.033575,-1.135819,-0.1375475,-0.4531472
0.410506,1.066864,9.264427,3.033575,-1.135819,-0.1375475,-0.4531472
0.4535404,1.066864,9.264427,3.033575,-1.135819,-0.1375475,-0.4531472
0.4972997,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.5419996,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.5588514,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.5763949,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.5925494,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.609402,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.6263777,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.6434445,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.6604322,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.6768585,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.6936454,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.7104946,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.7274962,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.7445573,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.761579,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
0.77789,2.640575,8.646057,3.800455,-0.5761645,-1.046082,0.3142257
