ElapsedTime,GravityX,GravityY,GravityZ,LinearX,LinearY,LinearZ
0.02,0,0,0,0,0,0
0.04,0,0,0,0,0,0
0.14,0,0,0,0,0,0
0.1711219,2.439156,5.348183,7.849704,0.1456511,0.06696653,-0.1061988
0.1894261,2.439156,5.348183,7.849704,0.1456511,0.06696653,-0.1061988
0.2060015,2.439156,5.348183,7.849704,0.1456511,0.06696653,-0.1061988
0.2228134,2.439156,5.348183,7.849704,0.1456511,0.06696653,-0.1061988
0.2398031,2.439156,5.348183,7.849704,0.1456511,0.06696653,-0.1061988
0.2557992,2.439156,5.348183,7.849704,0.1456511,0.06696653,-0.1061988
0.2728254,1.079846,5.530501,8.026074,1.574219,0.4338279,0.4742303
0.2898319,1.079846,5.530501,8.026074,1.574219,0.4338279,0.4742303
0.3053949,1.079846,5.530501,8.026074,1.574219,0.4338279,0.4742303
0.3219621,1.079846,5.530501,8.026074,1.574219,0.4338279,0.4742303
0.3385285,1.079846,5.530501,8.026074,1.574219,0.4338279,0.4742303
0.3550953,1.079846,5.530501,8.026074,1.574219,0.4338279,0.4742303
0.3717803,1.079846,5.530501,8.026074,1.574219,0.4338279,0.4742303
0.3887437,1.079846,5.530501,8.026074,1.574219,0.4338279,0.4742303
0.4047961,1.079846,5.530501,8.026074,1.574219,0.4338279,0.4742303
0.4217176,1.079846,5.530501,8.026074,1.574219,0.4338279,0.4742303
0.4387299,1.079846,5.530501,8.026074,1.574219,0.4338279,0.4742303
0.4544957,1.079846,5.530501,8.026074,1.574219,0.4338279,0.4742303
0.4710616,1.079846,5.530501,8.026074,1.574219,0.4338279,0.4742303
0.4877003,1.079846,5.530501,8.026074,1.574219,0.4338279,0.4742303
0.5091431,1.079846,5.530501,8.026074,1.574219,0.4338279,0.4742303
0.520762,0.5770014,5.049194,8.387078,1.934139,0.45544,-1.112035
0.537718,0.5770014,5.049194,8.387078,1.934139,0.45544,-1.112035
0.5538956,0.5770014,5.049194,8.387078,1.934139,0.45544,-1.112035
0.5706775,0.5770014,5.049194,8.387078,1.934139,0.45544,-1.112035
0.5870304,0.5770014,5.049194,8.387078,1.934139,0.45544,-1.112035
0.6036888,0.5770014,5.049194,8.387078,1.934139,0.45544,-1.112035
0.6206538,0.5770014,5.049194,8.387078,1.934139,0.45544,-1.112035
0.6367292,0.5770014,5.049194,8.387078,1.934139,0.45544,-1.112035
0.6536294,0.5770014,5.049194,8.387078,1.934139,0.45544,-1.112035
0.669862,0.5770014,5.049194,8.387078,1.934139,0.45544,-1.112035
0.6866344,0.5770014,5.049194,8.387078,1.934139,0.45544,-1.112035
