ElapsedTime,Class1,Class2,Class3,Class4,BestClass
0.02,0,0,0,0,0
0.04,0,0,0,0,0
0.14,0,0,0,0,0
0.1909998,0,0,0,0,0
0.2079636,0,0,0,0,0
0.2254299,0,0,0,0,0
0.2416637,0,0,0,0,0
0.2585134,0,0,0,0,0
0.2754016,0,0,0,0,0
0.2922115,0,0,0,0,0
0.3094228,0,0,0,0,0
0.3259096,0,0,0,0,0
0.3434095,0,0,0,0,0
0.3596076,0,0,0,0,0
0.3764618,0,0,0,0,0
0.3934913,0,0,0,0,0
0.410506,0,0,0,0,0
0.4535404,0,0,0,0,0
0.4972997,0,0,0,0,0
0.5419996,0,0,0,0,0
0.5588514,0,0,0,0,0
0.5763949,0,0,0,0,0
0.5925494,0,0,0,0,0
0.609402,0,0,0,0,0
0.6263777,0,0,0,0,0
0.6434445,0,0,0,0,0
0.6604322,0,0,0,0,0
0.6768585,0,0,0,0,0
0.6936454,0,0,0,0,0
0.7104946,0,0,0,0,0
0.7274962,0,0,0,0,0
0.7445573,0,0,0,0,0
0.761579,0,0,0,0,0
0.77789,0,0,0,0,0
0.7947397,0,0,0,0,0
0.8115979,0,0,0,0,0
0.8286545,0,0,0,0,0
0.845714,0,0,0,0,0
0.864292,12.2257,7.870179,34.9772,35.01621,1
0.8816783,12.2257,7.870179,34.9772,35.01621,1
0.8979918,12.2257,7.870179,34.9772,35.01621,1
0.9290624,12.2257,7.870179,34.9772,35.01621,1
0.9466375,12.2257,7.870179,34.9772,35.01621,1
0.9627609,12.2257,7.870179,34.9772,35.01621,1
0.9881655,12.2257,7.870179,34.9772,35.01621,1
1.005032,12.2257,7.870179,34.9772,35.01621,1
1.022291,12.2257,7.870179,34.9772,35.01621,1
1.039383,12.2257,7.870179,34.9772,35.01621,1
1.056569,12.2257,7.870179,34.9772,35.01621,1
1.073083,12.2257,7.870179,34.9772,35.01621,1
1.089933,12.2257,7.870179,34.9772,35.01621,1
1.106782,12.2257,7.870179,34.9772,35.01621,1
1.12363,12.2257,7.870179,34.9772,35.01621,1
1.140538,12.2257,7.870179,34.9772,35.01621,1
1.157689,12.2257,7.870179,34.9772,35.01621,1
1.174518,12.2257,7.870179,34.9772,35.01621,1
1.191505,12.2257,7.870179,34.9772,35.01621,1
1.20857,12.2257,7.870179,34.9772,35.01621,1
1.224737,12.2257,7.870179,34.9772,35.01621,1
1.241697,12.2257,7.870179,34.9772,35.01621,1
1.25887,12.2257,7.870179,34.9772,35.01621,1
1.275879,12.2257,7.870179,34.9772,35.01621,1
1.292123,12.2257,7.870179,34.9772,35.01621,1
1.308972,12.2257,7.870179,34.9772,35.01621,1
1.325863,12.2257,7.870179,34.9772,35.01621,1
1.342841,12.2257,7.870179,34.9772,35.01621,1
1.359849,12.2257,7.870179,34.9772,35.01621,1
1.376885,12.2257,7.870179,34.9772,35.01621,1
1.394099,12.2257,7.870179,34.9772,35.01621,1
1.410949,12.2257,7.870179,34.9772,35.01621,1
1.427826,12.2257,7.870179,34.9772,35.01621,1
1.444847,12.2257,7.870179,34.9772,35.01621,1
1.4618,12.2257,7.870179,34.9772,35.01621,1
1.478803,12.2257,7.870179,34.9772,35.01621,1
1.495804,12.2257,7.870179,34.9772,35.01621,1
1.512044,12.2257,7.870179,34.9772,35.01621,1
1.528893,12.2257,7.870179,34.9772,35.01621,1
1.545781,12.2257,7.870179,34.9772,35.01621,1
1.562769,12.2257,7.870179,34.9772,35.01621,1
1.579768,12.2257,7.870179,34.9772,35.01621,1
1.59629,12.2257,7.870179,34.9772,35.01621,1
1.613139,12.2257,7.870179,34.9772,35.01621,1
1.629988,12.2257,7.870179,34.9772,35.01621,1
1.646838,12.2257,7.870179,34.9772,35.01621,1
1.663822,12.2257,7.870179,34.9772,35.01621,1
1.680536,12.2257,7.870179,34.9772,35.01621,1
1.697795,12.2257,7.870179,34.9772,35.01621,1
1.714235,12.2257,7.870179,34.9772,35.01621,1
1.731084,12.2257,7.870179,34.9772,35.01621,1
1.747932,13.89352,8.403307,34.07853,33.56913,1
1.764842,13.89352,8.403307,34.07853,33.56913,1
1.781631,13.89352,8.403307,34.07853,33.56913,1
1.798823,13.89352,8.403307,34.07853,33.56913,1
1.815812,13.89352,8.403307,34.07853,33.56913,1
1.832178,13.89352,8.403307,34.07853,33.56913,1
1.849028,13.89352,8.403307,34.07853,33.56913,1
1.866322,13.89352,8.403307,34.07853,33.56913,1
1.899792,13.89352,8.403307,34.07853,33.56913,1
1.947026,13.89352,8.403307,34.07853,33.56913,1
1.963886,13.89352,8.403307,34.07853,33.56913,1
1.981319,13.89352,8.403307,34.07853,33.56913,1
1.998169,13.89352,8.403307,34.07853,33.56913,1
2.015019,13.89352,8.403307,34.07853,33.56913,1
2.032313,13.89352,8.403307,34.07853,33.56913,1
2.048719,13.89352,8.403307,34.07853,33.56913,1
2.066227,13.89352,8.403307,34.07853,33.56913,1
2.082415,13.89352,8.403307,34.07853,33.56913,1
2.099265,13.89352,8.403307,34.07853,33.56913,1
2.11623,13.89352,8.403307,34.07853,33.56913,1
2.133286,13.89352,8.403307,34.07853,33.56913,1
2.150368,13.89352,8.403307,34.07853,33.56913,1
2.166663,13.89352,8.403307,34.07853,33.56913,1
2.183556,13.89352,8.403307,34.07853,33.56913,1
2.200361,13.89352,8.403307,34.07853,33.56913,1
